4/22/2020,AK,9,37,No Data,335
4/21/2020,AK,9,37,No Data,329
4/20/2020,AK,9,37,No Data,321
4/19/2020,AK,9,37,No Data,319
4/18/2020,AK,9,37,No Data,314
4/17/2020,AK,9,37,No Data,309
4/16/2020,AK,9,36,No Data,300
4/15/2020,AK,9,33,No Data,293
4/14/2020,AK,9,33,No Data,285
4/13/2020,AK,8,33,No Data,277
4/12/2020,AK,8,33,No Data,272
4/11/2020,AK,8,32,No Data,257
4/10/2020,AK,7,30,No Data,246
4/9/2020,AK,7,30,No Data,235
4/8/2020,AK,7,28,No Data,226
4/7/2020,AK,6,26,No Data,213
4/6/2020,AK,6,25,No Data,191
4/5/2020,AK,6,21,No Data,185
4/4/2020,AK,5,17,No Data,171
4/3/2020,AK,3,17,No Data,160
4/2/2020,AK,3,16,No Data,149
4/1/2020,AK,3,15,No Data,141
3/31/2020,AK,3,12,No Data,128
3/30/2020,AK,3,10,No Data,118
3/29/2020,AK,2,10,No Data,110
3/28/2020,AK,2,10,No Data,91
3/27/2020,AK,1,6,No Data,74
3/26/2020,AK,1,4,No Data,63
3/25/2020,AK,1,3,No Data,49
3/24/2020,AK,0,2,No Data,42
3/23/2020,AK,0,1,No Data,38
3/22/2020,AK,0,1,No Data,25
3/21/2020,AK,0,1,No Data,15
3/20/2020,AK,0,1,No Data,14
3/19/2020,AK,0,1,No Data,11
3/18/2020,AK,0,1,No Data,8
3/17/2020,AK,0,1,No Data,3
3/16/2020,AK,0,1,No Data,No Data
3/15/2020,AK,0,1,No Data,No Data
3/14/2020,AK,0,1,No Data,No Data
3/13/2020,AK,0,1,No Data,No Data
3/12/2020,AK,0,1,No Data,No Data
3/11/2020,AK,0,1,No Data,No Data
3/10/2020,AK,0,1,No Data,No Data
3/9/2020,AK,0,1,No Data,No Data
3/8/2020,AK,0,No Data,No Data,No Data
3/7/2020,AK,0,No Data,No Data,No Data
3/6/2020,AK,0,No Data,No Data,No Data
3/7/2021,AL,10148,45976,1931711,499819
3/6/2021,AL,10149,45976,1929624,499411
3/5/2021,AL,10122,45976,1924758,498887
3/4/2021,AL,10094,45807,1920535,498076
3/3/2021,AL,10029,45723,1915545,497154
3/2/2021,AL,9991,45699,1908302,494421
3/1/2021,AL,9931,45648,1905141,493769
2/28/2021,AL,9929,45428,1903691,493252
2/27/2021,AL,9930,45428,1900915,492683
2/26/2021,AL,9869,45428,1896419,491849
2/25/2021,AL,9831,45312,1891548,491110
2/24/2021,AL,9744,45250,1885151,490220
2/23/2021,AL,9660,45250,1882180,488973
2/22/2021,AL,9592,45128,1877930,487520
2/21/2021,AL,9592,44767,1875829,486843
2/20/2021,AL,9590,44767,1872725,485986
2/19/2021,AL,9573,44767,1867861,485212
2/18/2021,AL,9424,44767,1863597,484365
2/17/2021,AL,9346,44541,1859516,483167
